response,trial_index,time_elapsed,participantID,age,gender,language,amE,education,comments,content,qud,prior,utterance,predicate,valence
0.23,1,41720,560,59,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,think-neg,think,neg
0.66,1,20016,528,35,male,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,ai,lower,simple-pos,simple,pos
1,1,46066,185,50,female,English,AmE,some college,""":""n/a""}",Charley speaks Spanish,ai,lower,think-pos,think,pos
0.42,1,55851,617,39,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,higher,think-neg,think,neg
1,1,26311,623,27,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,higher,know-pos,know,pos
0.75,1,27870,334,50,male,English,AmE,graduated college,""":""I guess I was just curious was he not speaking Spanish because he didn't want to was my question that's why I was thinking that it could be very likely that he doesn't know Spanish because maybe they speak English where he is""}",Charley speaks Spanish,ai,higher,simple-neg,simple,neg
0.72,1,27185,772,37,female,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,nai,higher,think-pos,think,pos
0.65,1,55533,305,38,male,English,AmE,graduated college,""":""Either Cole is not very smart or someone lives in a country and doesn't speak the native language ""}",Charley speaks Spanish,ai,higher,think-neg,think,neg
0.1,1,44185,284,32,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,higher,think-pos,think,pos
0.5,1,29790,559,44,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,higher,know-neg,know,neg
0,1,43610,295,64,male,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,lower,think-neg,think,neg
0.72,1,38799,479,34,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,higher,simple-neg,simple,neg
1,1,54888,377,38,female,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,higher,know-pos,know,pos
0,1,50973,47,70,female,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,ai,higher,simple-neg,simple,neg
0.49,1,179008,223,34,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,lower,think-neg,think,neg
0,1,31562,857,70,female,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,lower,think-neg,think,neg
0.75,1,10275,439,51,female,English,AmE,graduated college,""":""nice""}",Jackson ran ten miles,nai,higher,know-neg,know,neg
0.28,1,24448,657,41,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,think-neg,think,neg
0.22,1,29079,82,49,male,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,lower,know-neg,know,neg
0.88,1,59920,755,33,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,know-neg,know,neg
0.8,1,207269,791,42,female,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,lower,think-pos,think,pos
0.67,1,67120,411,51,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,know-pos,know,pos
0.77,1,47707,311,34,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,higher,simple-neg,simple,neg
0.74,1,68025,150,35,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,higher,think-pos,think,pos
1,1,83913,816,49,female,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,lower,know-pos,know,pos
0.94,1,31501,852,59,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,know-pos,know,pos
0.2,1,51035,342,35,female,English,AmE,some college,""":""I thought it was interesting. Thanks so much. :) ""}",Charley speaks Spanish,ai,lower,think-neg,think,neg
0.59,1,50070,348,42,male,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,lower,know-neg,know,neg
1,1,52518,743,54,female,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,ai,higher,know-pos,know,pos
0.5,1,35218,860,35,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,higher,think-neg,think,neg
0.98,1,217921,394,45,male,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,lower,know-neg,know,neg
0.72,1,43152,403,66,female,English,AmE,hold a higher degree,""":""I don't have any.""}",Jackson ran ten miles,nai,higher,think-pos,think,pos
0.74,1,46583,139,49,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,higher,know-pos,know,pos
0.94,1,74181,789,49,female,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,lower,know-pos,know,pos
1,1,304162,512,57,female,English,AmE,some college,""":""none yet!""}",Charley speaks Spanish,nai,higher,know-neg,know,neg
0.81,1,23631,837,22,male,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,higher,simple-pos,simple,pos
0.11,1,83651,795,40,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,lower,think-neg,think,neg
0.81,1,24351,800,37,male,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,ai,lower,simple-pos,simple,pos
0,1,326085,410,45,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,simple-neg,simple,neg
0.1,1,25259,81,31,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,higher,simple-neg,simple,neg
0,1,11075,133,39,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,think-pos,think,pos
0,1,20434,497,44,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,know-pos,know,pos
0.69,1,10456,157,29,male,English,AmE,graduated college,""":""n/a""}",Charley speaks Spanish,ai,higher,know-neg,know,neg
0.64,1,17323,430,35,female,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,lower,think-pos,think,pos
0,1,31328,16,43,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,lower,simple-neg,simple,neg
0.55,1,16961,490,32,female,English,AmE,hold a higher degree,""":""n/a""}",Jackson ran ten miles,nai,higher,know-neg,know,neg
0.73,1,18020,665,42,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,higher,think-pos,think,pos
0.05,1,14515,781,64,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,simple-neg,simple,neg
0.69,1,25357,230,49,female,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,lower,think-pos,think,pos
0.78,1,25832,347,39,male,English,AmE,graduated college,""":""Thanks""}",Jackson ran ten miles,nai,higher,know-neg,know,neg
0,1,28573,229,51,female,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,higher,simple-neg,simple,neg
0.29,1,29307,164,38,male,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,nai,lower,know-neg,know,neg
0.69,1,28998,567,37,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,higher,think-pos,think,pos
0.16,1,18691,804,34,male,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,lower,simple-neg,simple,neg
1,1,31300,253,39,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,higher,think-pos,think,pos
1,1,23123,73,54,female,English,AmE,some college,""":""NO COMMENTS""}",Charley speaks Spanish,nai,lower,know-pos,know,pos
0.57,1,52158,739,56,female,English,AmE,graduated college,""":""none""}",Jackson ran ten miles,nai,higher,know-neg,know,neg
0.7,1,33989,784,22,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,higher,think-neg,think,neg
0.25,1,25265,325,39,male,English,AmE,graduated college,""":""None""}",Jackson ran ten miles,ai,lower,think-pos,think,pos
0.5,1,39952,49,44,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,higher,think-neg,think,neg
0.19,1,51429,405,32,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,know-pos,know,pos
0.77,1,8813,69,30,male,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,ai,lower,know-neg,know,neg
0.86,1,48416,144,39,female,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,higher,think-pos,think,pos
1,1,27878,324,27,female,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,ai,lower,simple-neg,simple,neg
0.21,1,38317,95,37,male,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,lower,think-pos,think,pos
1,1,39854,221,54,male,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,higher,simple-pos,simple,pos
0.99,1,31601,345,18,male,English,AmE,some high school,""":""""}",Jackson ran ten miles,ai,higher,know-pos,know,pos
1,1,18687,507,27,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,higher,know-pos,know,pos
0.3,1,41399,250,53,female,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,ai,higher,think-neg,think,neg
0,1,14787,119,42,male,English,AmE,graduated high school,""":""Thanks""}",Jackson ran ten miles,nai,lower,know-pos,know,pos
0,1,24381,712,34,male,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,ai,lower,think-pos,think,pos
0.92,1,33546,700,51,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,higher,know-neg,know,neg
0,1,49026,91,45,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,lower,simple-neg,simple,neg
1,1,13889,30,46,male,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,higher,know-neg,know,neg
1,1,18421,174,60,female,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,ai,higher,simple-pos,simple,pos
1,1,21855,701,42,male,English,AmE,graduated college,""":""N/A""}",Charley speaks Spanish,nai,higher,know-pos,know,pos
0.7,1,43090,123,58,male,English,AmE,graduated college,""":""none""}",Jackson ran ten miles,nai,lower,know-neg,know,neg
0.65,1,25027,552,30,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,know-pos,know,pos
0.2,1,22861,404,23,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,think-neg,think,neg
0,1,35720,584,53,female,English,AmE,some college,""":""The study was just one question and demographics?""}",Jackson ran ten miles,ai,higher,simple-neg,simple,neg
1,1,52996,6,51,male,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,higher,know-pos,know,pos
0.95,1,37641,724,39,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,higher,know-neg,know,neg
0.95,1,26472,829,32,non-binary,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,nai,lower,know-neg,know,neg
0.05,1,29955,814,63,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,know-neg,know,neg
0.2,1,5725,555,20,female,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,lower,think-neg,think,neg
0.95,1,57531,416,62,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,higher,think-pos,think,pos
0.23,1,56425,417,68,female,English,AmE,some college,""":""Thank you ""}",Jackson ran ten miles,nai,lower,know-neg,know,neg
0,1,62818,749,42,male,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,ai,higher,simple-neg,simple,neg
0.04,1,48410,858,39,male,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,lower,simple-pos,simple,pos
0.26,1,28623,317,25,male,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,ai,higher,think-neg,think,neg
0.83,1,27784,728,35,male,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,higher,know-pos,know,pos
0.25,1,16669,341,42,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,lower,simple-neg,simple,neg
0.84,1,34178,655,44,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,higher,know-pos,know,pos
0.07,1,33303,402,35,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,lower,know-neg,know,neg
0.64,1,43276,543,34,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,think-pos,think,pos
0.26,1,49693,92,31,non-binary,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,think-neg,think,neg
0.05,1,50010,378,41,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,higher,simple-neg,simple,neg
0.17,1,51016,475,56,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,higher,think-neg,think,neg
0.81,1,23266,831,31,female,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,higher,think-pos,think,pos
0.77,1,34920,203,34,male,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,nai,higher,think-pos,think,pos
0.76,1,27633,279,35,female,English,AmE,graduated college,""":""I have none""}",Jackson ran ten miles,nai,higher,think-pos,think,pos
1,1,30021,463,52,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,higher,know-pos,know,pos
0.36,1,25171,137,52,male,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,lower,think-pos,think,pos
0.61,1,11800,571,22,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,lower,think-neg,think,neg
1,1,29164,222,56,female,English,AmE,graduated college,""":""Good luck with your research!""}",Charley speaks Spanish,nai,higher,think-pos,think,pos
0.29,1,42517,611,76,female,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,lower,know-pos,know,pos
1,1,71896,464,40,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,know-neg,know,neg
0,1,13045,409,39,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,know-pos,know,pos
0.37,1,59244,437,57,female,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,ai,lower,simple-pos,simple,pos
0.77,1,38853,616,35,female,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,ai,lower,know-pos,know,pos
0.69,1,39196,28,26,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,higher,think-pos,think,pos
0.31,1,38948,261,65,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,think-pos,think,pos
0.21,1,70335,51,53,female,English,AmE,graduated college,""":""Everything was clear and easy to understand.""}",Jackson ran ten miles,ai,higher,think-neg,think,neg
0.7,1,76044,694,36,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,higher,think-pos,think,pos
0.98,1,37868,243,43,male,English,AmE,hold a higher degree,"""}",Charley speaks Spanish,ai,higher,think-pos,think,pos
0.27,1,28162,363,45,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,higher,think-neg,think,neg
0.9,1,58334,458,29,male,English,AmE,graduated college,""":""None""}",Jackson ran ten miles,ai,lower,think-pos,think,pos
0.07,1,36660,433,35,female,English,AmE,graduated high school,""":""nothing else to share""}",Charley speaks Spanish,nai,lower,think-pos,think,pos
0.91,1,37595,205,32,male,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,higher,think-pos,think,pos
0.81,1,51687,260,29,female,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,lower,think-neg,think,neg
0.54,1,54362,444,33,female,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,ai,higher,think-neg,think,neg
0.5,1,19796,586,30,non-binary,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,higher,know-neg,know,neg
0.9,1,44725,135,51,male,English,AmE,graduated high school,""":""Everything in the survey went fine with no issues.""}",Jackson ran ten miles,nai,higher,know-pos,know,pos
0,1,98580,263,70,female,English,AmE,graduated college,""":""interesting survey""}",Charley speaks Spanish,nai,lower,think-neg,think,neg
0.71,1,91569,596,53,female,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,lower,know-neg,know,neg
0.57,1,61525,569,35,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,think-pos,think,pos
0.96,1,34695,610,37,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,higher,simple-pos,simple,pos
1,1,27903,618,60,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,higher,know-pos,know,pos
0.75,1,16905,568,44,female,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,higher,think-pos,think,pos
0.15,1,23079,180,60,female,English,AmE,some college,""":""thank you""}",Jackson ran ten miles,nai,lower,think-pos,think,pos
1,1,32849,565,42,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,higher,simple-pos,simple,pos
0.85,1,42600,850,43,female,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,ai,lower,know-neg,know,neg
0.5,1,39591,240,54,female,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,lower,know-neg,know,neg
0.24,1,102111,360,30,male,English,AmE,graduated college,""":""NA""}",Charley speaks Spanish,ai,lower,know-pos,know,pos
0.76,1,35399,169,27,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,know-neg,know,neg
0.81,1,17751,699,58,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,higher,simple-neg,simple,neg
0.4,1,28203,31,34,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,think-pos,think,pos
1,1,84412,648,41,female,English,AmE,graduated high school,""":""none""}",Charley speaks Spanish,ai,lower,know-pos,know,pos
0,1,45446,675,26,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,simple-neg,simple,neg
0.77,1,78417,339,33,male,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,higher,think-pos,think,pos
0.09,1,32010,438,48,male,English,AmE,graduated high school,".""}",Charley speaks Spanish,ai,higher,simple-neg,simple,neg
0.23,1,80679,277,29,male,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,nai,lower,know-neg,know,neg
0,1,26654,215,28,male,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,nai,lower,think-neg,think,neg
1,1,73949,446,53,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,higher,know-neg,know,neg
0.95,1,19781,830,54,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,higher,know-pos,know,pos
0.75,1,19111,206,49,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,lower,think-pos,think,pos
0.26,1,28874,808,49,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,simple-neg,simple,neg
0.91,1,117157,337,55,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,lower,think-neg,think,neg
0.81,1,34509,84,40,female,English,AmE,some college,""":""n/a""}",Jackson ran ten miles,nai,higher,think-pos,think,pos
0.77,1,33943,608,50,female,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,ai,lower,think-neg,think,neg
0,1,55688,774,54,male,English,AmE,graduated high school,""":""N/A""}",Charley speaks Spanish,ai,lower,simple-neg,simple,neg
0.59,1,101603,20,58,female,English,AmE,graduated college,""":""This was confusing. Did not mention if Jackson was running at all. Since he is training for a marathon, I selected more than 50% chance.""}",Jackson ran ten miles,ai,higher,think-neg,think,neg
0.11,1,174216,838,40,male,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,nai,lower,think-neg,think,neg
0.75,1,42503,631,21,female,English,AmE,some college,""":""n/a""}",Jackson ran ten miles,nai,higher,know-neg,know,neg
0.22,1,8789,251,31,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,think-neg,think,neg
0.17,1,59940,106,69,preferNoToSay,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,lower,simple-neg,simple,neg
1,1,26548,462,56,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,nai,lower,know-neg,know,neg
1,1,47184,574,54,female,English,AmE,some college,""":""Thank you.""}",Jackson ran ten miles,ai,higher,simple-pos,simple,pos
0.41,1,24066,238,27,male,English,AmE,hold a higher degree,""":""n/a""}",Charley speaks Spanish,nai,lower,know-pos,know,pos
0.09,1,48319,471,74,preferNoToSay,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,nai,lower,know-neg,know,neg
0.46,1,25027,366,39,male,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,lower,know-neg,know,neg
0.33,1,66575,429,54,female,English,AmE,some college,""":""thank you""}",Charley speaks Spanish,ai,lower,know-neg,know,neg
0.58,1,40098,354,39,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,know-pos,know,pos
0.36,1,44668,802,54,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,nai,higher,think-neg,think,neg
1,1,62015,270,47,female,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,higher,know-neg,know,neg
0.34,1,41743,173,55,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,think-pos,think,pos
0.58,1,37153,22,46,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,higher,think-pos,think,pos
0.65,1,5354,882,31,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,higher,know-neg,know,neg
1,1,50088,54,29,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,know-neg,know,neg
0.67,1,73692,88,59,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,higher,think-neg,think,neg
0.36,1,70325,259,42,female,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,ai,higher,know-neg,know,neg
0.97,1,64697,355,59,female,English,AmE,graduated college,""":""Thanks for the study it was interesing!""}",Jackson ran ten miles,ai,higher,know-neg,know,neg
0,1,37546,563,49,female,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,ai,lower,think-neg,think,neg
0.11,1,47900,371,60,male,English,AmE,some college,""":""fun survey""}",Jackson ran ten miles,nai,higher,think-pos,think,pos
0.5,1,38512,226,53,male,English,AmE,graduated college,""":""Thnks""}",Charley speaks Spanish,ai,lower,think-pos,think,pos
0.76,1,42275,729,48,female,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,lower,think-pos,think,pos
0.46,1,49717,646,47,male,English,AmE,graduated college,""":""If Jackson had told Cole \""I ran ten miles,\"" Cole would have told the partner, \""Cole knows Jackson ran ten miles.\"" But the word \""think\"" was used, which means Cole doesn't know for sure, but is making a guess, which is somewhat unlikely to be precise.""}",Jackson ran ten miles,nai,higher,think-pos,think,pos
0.85,1,57168,484,51,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,know-neg,know,neg
1,1,58164,705,21,female,English,AmE,some college,""":""Nothing was confusing ""}",Charley speaks Spanish,ai,lower,know-neg,know,neg
0.17,1,26057,510,57,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,simple-neg,simple,neg
1,1,31673,102,31,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,know-neg,know,neg
0.81,1,42153,771,37,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,think-pos,think,pos
0.73,1,100341,505,33,male,English,AmE,graduated high school,""":""N/A""}",Charley speaks Spanish,nai,higher,know-pos,know,pos
0.34,1,25691,788,25,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,higher,know-pos,know,pos
1,1,53327,326,50,male,English,AmE,some college,""":""None""}",Charley speaks Spanish,nai,higher,think-pos,think,pos
0.92,1,24590,581,23,female,English,AmE,some high school,""":""""}",Charley speaks Spanish,nai,higher,think-pos,think,pos
0.45,1,36365,322,43,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,nai,lower,know-neg,know,neg
0.45,1,45502,572,22,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,think-pos,think,pos
1,1,107937,358,NA,male,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,higher,think-pos,think,pos
1,1,74375,530,56,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,lower,know-neg,know,neg
0.52,1,34706,8,35,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,lower,think-pos,think,pos
0.32,1,118703,266,56,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,higher,think-neg,think,neg
0,1,55803,153,64,female,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,lower,think-pos,think,pos
0.88,1,46447,291,42,male,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,nai,higher,know-pos,know,pos
0.91,1,45573,630,43,male,English,AmE,some college,"""}",Jackson ran ten miles,nai,higher,know-pos,know,pos
0.5,1,106047,368,47,male,English,AmE,graduated college,""":""none""}",Charley speaks Spanish,nai,higher,know-pos,know,pos
0.4,1,42630,702,52,male,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,lower,think-neg,think,neg
0.75,1,63110,192,35,non-binary,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,higher,think-pos,think,pos
0,1,64649,209,34,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,simple-neg,simple,neg
0.61,1,37866,256,75,male,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,ai,lower,think-neg,think,neg
0.26,1,29364,807,58,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,simple-pos,simple,pos
0.94,1,23786,245,34,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,higher,know-neg,know,neg
0.87,1,45647,239,61,male,English,AmE,hold a higher degree,""":""Tone matters as well, as in how she said this.""}",Jackson ran ten miles,ai,higher,know-neg,know,neg
0.23,1,88350,609,43,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,higher,think-neg,think,neg
1,1,10892,182,22,male,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,nai,lower,know-pos,know,pos
0.86,1,23228,105,30,female,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,ai,higher,simple-pos,simple,pos
1,1,43876,619,64,male,English,AmE,graduated high school,""":""NONE""}",Jackson ran ten miles,nai,lower,know-neg,know,neg
0.75,1,18350,625,24,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,higher,know-pos,know,pos
0.83,1,19385,427,35,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,higher,know-pos,know,pos
1,1,64743,207,49,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,higher,know-neg,know,neg
0.44,1,35128,120,25,female,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,lower,think-neg,think,neg
0.95,1,34925,93,28,male,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,nai,lower,know-neg,know,neg
0.26,1,43097,217,42,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,higher,think-neg,think,neg
0.51,1,23723,356,34,male,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,ai,lower,simple-neg,simple,neg
0,1,273263,274,39,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,know-pos,know,pos
0.55,1,45287,15,56,male,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,higher,think-pos,think,pos
0.89,1,48117,590,72,female,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,ai,higher,think-pos,think,pos
0.75,1,44623,818,71,female,English,AmE,hold a higher degree,""":""Just make a chart of all of your client’s progress for your office""}",Jackson ran ten miles,nai,higher,know-neg,know,neg
1,1,30977,506,67,male,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,higher,simple-pos,simple,pos
1,1,46837,662,50,female,English,AmE,graduated college,""":""I assume Sue had a list in front of her with everyone's languages so if she says someone doesn't speak Spanish, it isn't just based on their location""}",Charley speaks Spanish,ai,lower,simple-neg,simple,neg
0.28,1,43118,19,35,male,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,lower,know-neg,know,neg
0.11,1,59202,472,69,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,know-neg,know,neg
0.59,1,256871,476,77,male,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,higher,know-pos,know,pos
0.77,1,8033,613,26,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,know-pos,know,pos
1,1,32623,529,31,male,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,higher,know-neg,know,neg
0.85,1,78573,576,65,female,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,lower,know-neg,know,neg
0.71,1,45204,234,47,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,higher,know-pos,know,pos
0.82,1,49586,299,77,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,know-pos,know,pos
